Des resultats en demi-teinte pour VMware en 2021;https://www.lemondeinformatique.fr/actualites/lire-des-resultats-en-demi-teinte-pour-vmware-en-2021-85975.html;le 01 Mars 2022;https://images.itnewsinfo.com/lmi/articles/moyen/000000084162.jpeg
Log4Shell: VMware observe trop de serveurs Horizon non patches;https://www.lemondeinformatique.fr/actualites/lire-log4shell-vmware-observe-trop-de-serveurs-horizon-non-patches-85595.html;le 27 Janvier 2022;https://images.itnewsinfo.com/lmi/articles/moyen/000000083546.jpg
Dossier : Externalisation du SI, jusqu'ou peut-on aller ?;https://www.lemondeinformatique.fr/les-dossiers/sommaire-lire-externalisation-du-si-jusqu-ou-peut-on-alleret-8239-230.html;le 20 Janvier 2022;https://images.itnewsinfo.com/lmi/articles/moyen/000000083408.jpg
Le cybergang AvosLocker veut chiffrer les VM ESXi de VMware;https://www.lemondeinformatique.fr/actualites/lire-le-cybergang-avoslocker-veut-chiffrer-les-vm-esxi-de-vmware-85401.html;le 12 Janvier 2022;https://images.itnewsinfo.com/lmi/articles/moyen/000000083236.jpg
VMware epaule les SOC avec Carbon Black Cloud MDR;https://www.lemondeinformatique.fr/actualites/lire-vmware-epaule-les-soc-avec-carbon-black-cloud-mdr-85085.html;le 10 Décembre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000082697.jpg
VMware lance ses services Cross-Cloud sur AWS;https://www.lemondeinformatique.fr/actualites/lire-vmware-lance-ses-services-cross-cloud-sur-aws-84855.html;le 19 Novembre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000082253.png
VMware regagne son independance avec la sortie de Dell;https://www.lemondeinformatique.fr/actualites/lire-vmware-regagne-son-independance-avec-la-sortie-de-dell-84677.html;le 02 Novembre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000081883.jpeg
VMware greffe son SASE aux routeurs WiFi d'Amazon;https://www.lemondeinformatique.fr/actualites/lire-vmware-greffe-son-sase-aux-routeurs-wifi-d-amazon-84660.html;le 29 Octobre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000081846.jpg
VMworld 2021 : VMware integre plus de securite dans NSX;https://www.lemondeinformatique.fr/actualites/lire-vmworld-2021-vmware-integre-plus-de-securite-dans-nsx-84439.html;le 12 Octobre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000081447.png
VMware France concentre sur le cloud de confiance et le multicloud;https://www.lemondeinformatique.fr/actualites/lire-vmware-france-concentre-sur-le-cloud-de-confiance-et-le-multicloud-84429.html;le 11 Octobre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000081433.jpg
Avec les services Cross-Cloud, VMware veut piloter le multicloud;https://www.lemondeinformatique.fr/actualites/lire-avec-les-services-cross-cloud-vmware-veut-piloter-le-multicloud-84395.html;le 06 Octobre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000081362.jpg
VMware finalise le developpement de Fusion pour Apple M1;https://www.lemondeinformatique.fr/actualites/lire-vmware-finalise-le-developpement-de-fusion-pour-apple-m1-84119.html;le 09 Septembre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000080858.jpg
VMware devoile Tanzu Application Platform en version beta;https://www.lemondeinformatique.fr/actualites/lire-vmware-devoile-tanzu-application-platform-en-version-beta-84045.html;le 02 Septembre 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000080746.jpg
VMware lance le early program access de Monterey;https://www.lemondeinformatique.fr/actualites/lire-vmware-lance-le-early-program-access-de-monterey-83807.html;le 05 Aout 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000080378.jpg
Avec le SD-WAN de VMware, Alstom modernise son reseau;https://www.lemondeinformatique.fr/actualites/lire-avec-le-sd-wan-de-vmware-alstom-modernise-son-reseau-83712.html;le 28 Juillet 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000080245.jpg
REvil s'attaque aux machines virtuelles sous ESXi;https://www.lemondeinformatique.fr/actualites/lire-revil-s-attaque-aux-machines-virtuelles-sous-esxi-83456.html;le 30 Juin 2021;https://images.itnewsinfo.com/lmi/articles/moyen/000000079816.jpg
